Name,npc_roster_id,display_name,faction_id,primary_function,services,hub_location,level_focus,security_profile,lore_connections,personality_hook,description
meg,npc_roster_marrow_vell,Marrow Vell,meg,QuestGiver,"[""Quest"",""Storage"",""Mapping""]",hub_quartermaster_corner,Level 1 Service Halls,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":true}","[""M.E.G. archive culture"",""Level 1 service corridors"",""Almond Water survival""]",Dry survival mentor who remembers every lost route by the item left behind.,Main V0.1 quartermaster and first five quest giver.
bntg,npc_roster_the_turnstile,The Turnstile,bntg,Trader,"[""Buy"",""Sell"",""Repair""]",ticket_trader_kiosk,Abandoned Theater Corner,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":true}","[""B.N.T.G. trade culture"",""Movie Ticket economy"",""Supply outposts""]",Speaks like an old station machine that learned bargaining from desperate people.,Ticket-based survival trader.
meg,npc_roster_sera_latch,Sera Latch,meg,Hybrid,"[""Quest"",""Medical"",""Training""]",meg_triage_desk,Sanity and Almond Water use,"{""can_fight"":true,""can_be_hired"":false,""can_hire_security"":false}","[""M.E.G. archive culture"",""Almond Water survival"",""Entity documentation""]","Gentle voice, terrifying field notes.",Medic-researcher who teaches sanity survival and post-run recovery.
meg,npc_roster_orin_mapwake,Orin Mapwake,meg,QuestGiver,"[""Quest"",""Mapping"",""Radio""]",meg_map_wall,Service Hall route mapping,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":false}","[""M.E.G. archive culture"",""Level 1 service corridors"",""No-clip transitions""]","Never looks at people directly, only at exits behind them.",Map archivist for route quests and level-return objectives.
meg,npc_roster_june_brightwire,June Brightwire,meg,Trader,"[""Buy"",""Sell"",""Repair"",""Radio""]",meg_radio_bench,Radio and scanner gear,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":false}","[""M.E.G. archive culture"",""Entity documentation"",""Supply outposts""]",Names every radio after someone who stopped answering.,M.E.G. comms vendor and radio upgrade contact.
meg,npc_roster_voss_halden,Voss Halden,meg,Security,"[""SecurityPatrol"",""Training""]",meg_checkpoint,Hub defense and entity drills,"{""can_fight"":true,""can_be_hired"":true,""can_hire_security"":false}","[""M.E.G. archive culture"",""Entity documentation"",""Safe-room settlement life""]","Counts exits before entering any room, then counts people.",Security recruit for hub defense tutorials.
bntg,npc_roster_cass_bracket,Cass Bracket,bntg,Trader,"[""Buy"",""Sell"",""Crafting""]",bntg_parts_counter,"Scrap, ammo, and crafting materials","{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":false}","[""B.N.T.G. trade culture"",""Supply outposts"",""Level 1 service corridors""]",Can judge metal quality by the sound it makes hitting a desk.,Parts trader for ammo crafting and repair economies.
bntg,npc_roster_iva_lockgrail,Iva Lockgrail,bntg,QuestGiver,"[""Quest"",""SecurityHire"",""Storage""]",bntg_crate_office,Supply crates and locker recovery,"{""can_fight"":true,""can_be_hired"":false,""can_hire_security"":true}","[""B.N.T.G. trade culture"",""Supply outposts"",""Movie Ticket economy""]",Smiles when locks break cleanly.,B.N.T.G. crate boss who introduces paid security escorts later.
bntg,npc_roster_bram_fusewick,Bram Fusewick,bntg,Hybrid,"[""Buy"",""Sell"",""Crafting"",""Repair""]",bntg_ammo_stall,Crude ammunition and weapons,"{""can_fight"":true,""can_be_hired"":false,""can_hire_security"":false}","[""B.N.T.G. trade culture"",""Supply outposts"",""Entity documentation""]",Whispers around gunpowder like it is asleep.,Ammo crafter and rare weapon vendor.
bntg,npc_roster_milo_pawnlight,Milo Pawnlight,bntg,SecurityBroker,"[""SecurityHire"",""Buy"",""Sell""]",bntg_guard_window,Paid escort contracts,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":true}","[""B.N.T.G. trade culture"",""Movie Ticket economy"",""Safe-room settlement life""]",Calls every guard an investment and every corpse bad accounting.,Security broker for future hireable guards.
bntg,npc_roster_tessa_rivet,Tessa Rivet,bntg,Security,"[""SecurityPatrol"",""SecurityHire"",""Training""]",bntg_market_gate,Market defense,"{""can_fight"":true,""can_be_hired"":true,""can_hire_security"":false}","[""B.N.T.G. trade culture"",""Supply outposts"",""Safe-room settlement life""]","Armored in mismatched plates, polite until the first warning ends.",Hireable B.N.T.G. guard archetype.
clippers,npc_roster_rook_twine,Rook Twine,clippers,QuestGiver,"[""Quest"",""Mapping"",""Training""]",clippers_route_wall,Trail String and shortcut discovery,"{""can_fight"":true,""can_be_hired"":false,""can_hire_security"":false}","[""Clippers route culture"",""No-clip transitions"",""Level 1 service corridors""]","Ties knots while lying, unties them when telling the truth.",Route mentor for Trail String and hidden path quests.
clippers,npc_roster_veya_skipjack,Veya Skipjack,clippers,Trader,"[""Buy"",""Sell"",""Mapping""]",clippers_thread_counter,Navigation items,"{""can_fight"":false,""can_be_hired"":false,""can_hire_security"":false}","[""Clippers route culture"",""No-clip transitions"",""Movie Ticket economy""]",Trades in maps that expire faster than milk.,"Navigation trader for chalk, string, and route tools."
